word,description
emperor,n. 皇帝；君主
exact,a. 精确的；准确的
traditional,a. 传统的，惯例的；口传的，传说的
lack,n./vt. 缺乏，不足，没有
pardon,excl. （用于请求别人重复某事）什么，请再说一遍 n./vt. 原谅，宽恕；赦免
regent,n. 摄政者（代国王统治者）
burgeon,vi. 迅速成长；发展
argue,v. 争论；说服
barely,ad. 仅仅，几乎不；赤裸裸地，无遮蔽地
methane,n. 甲烷，沼气
hierarchy,n. 领导层；层次，等级
guidance,n. 指引，指导
easy-going,a. 脾气随和的，心平气和的；随便的
electrical,a. 电的，电学的，有关电的
electronic,a. 电子的
roll film,胶卷
philosophy,n. 哲学；哲理
chronic,a. （疾病）慢性的；积习难改的
desirable,a. 值得拥有的；合意的；可取的，有利的
consortium,n. 集团；财团；社团，协会
buckle,n. 皮带扣环 v. 扣紧；（使）变形；弯曲
curry,n. 咖喱，咖喱饭菜 vt. 把（肉、蔬菜等）做成咖喱食品；梳刷（马毛等）
subliminal,a. 下意识的，潜意识的
chamber,n. 室；洞穴；（枪）膛
frequent,a. 频繁的，常见的，常用的
prosperous,a. 繁荣的，兴旺的；成功的
purpose,n. 目的，意图；用途，效果 v. 打算，企图，决心
variety,n. 品种，种类；变化，多样化
immigration,n. 外来的移民；移居
natural,a. 正常的，普通的，自然的；自然界的，天然的；天赋的，固有的
bet,v. 赌，打赌 n. 打赌，赌注
consumer,n. 消费者；用户
physician,n. 内科医生，医师
equal,a. 相等的 vt. 比得上
resort,n. 求助；诉诸；胜地 vi. 求助；诉诸
leadership,n. 领导，领导层；领导能力
equity,n. 公平，公正
excavate,vt. 挖掘，开凿
nuclear,a. 核能的，原子能的
mutual,a. 相互的；共同的
hectare,n. 公顷
density,n. 密集；浓度，密度
massive,a. 大而重的，厚实的，粗大的；大量的，大规模的
congratulate,vt. 祝贺
companion,n. 共事者；同伴
rig,vt. 操纵，垄断 n. 船桅（或船帆等）的装置；成套器械
input,n. 投入，输入；输入的数据 vt. 把…输入计算机
merely,ad. 仅仅，只不过
impart,vt. 给予，赋予；传授；告知，透露
forfeit,v. （因犯规等而）丧失，失去 n. 罚款；代价
calorie,n. 卡（路里），大卡（食物的热量）
van,n. 运货车
ventilation,n. 空气流通；通风设备，通风方法
intermediate,a. 中间的，中级的
eternal,a. 永恒的
invasion,n. 入侵，侵略
nevertheless,ad. 仍然；然而 conj. 然而，不过
celebrate,v. 赞扬，歌颂；庆祝
inspiring,a. 鼓舞（或激励）人心的；启发灵感的
attendance,n. 到场，出席；出勤；伺候，照料
optional,a. 可选择的，非强制的，随意的
enable,vt. 使能够，使成为可能
departmental,a. 部门的
heal,v. 治愈，康复；调停
dismantle,vt. 拆除；废除，取消
wage,n. 工资；［常pl.］报酬
landscape,n. 风景 vt. 对…作景观美化，美化（自然环境等）
emotion,n. 感情；情绪
commonwealth,n. ［the C-］英联邦；联合体
newsletter,n. 时事通讯，业务通讯
periodical,n. 期刊，杂志 a. 周期的，定期的
receptionist,n. 接待员
security,n. 安全，保障；抵押品；［pl.］证券
clip,n. （弹簧）夹子，回形针，别针；弹夹；修剪；剪报，电影（或电视）片断 v. （用夹子、回形针等）夹住，扣住；剪，修剪
apace,ad. 快速地，急速地
yield,n. 产量 v. 出产；放弃
fair,a./ad. 公平的／地
regional,a. 局部范围的；地方（性）的，区域性的；全地区的，整个地区的
secure,v. 得到某物，获得；防护，保卫 a. 安全的；可靠的，放心的
preserve,vt. 保护；维持；保存，保藏；腌渍
reject,［riˈʤekt］vt. 拒绝［ˈri:ʤekt］n. 被拒货品，不合格品
code,n. 密码；代码 vt. 把…编码
seek,v. 寻找；探索；追求
item,n. 条款，项目；（新闻等）一则
crown,n. 王冠；花冠；齿冠
effort,n. 努力，艰难的尝试；成就
point,n. 尖，尖端；点，小数点；条款，细目；分数，得分；要点，论点，观点 v. 指，指向；表明；瞄准
review,vt. 回顾；复习；评论 n. 回顾；评论
fabrication,n. 捏造，伪造；制作；构成
series,n. 一系列，连续；丛书
variation,n. 变化，变动；变种，变异；变更；变奏
margin,n. 差额，差距；页边空白；边缘；余地；幅度 v. 加旁注于；加边于
distraction,n. 分散注意力的事；使人分心的事；娱乐，消遣
complicate,vt. 使变复杂
tram,n. 有轨电车，电车轨道 v. 乘电车
maturity,n. 成熟；完善，完备，准备就绪；到期（应付款）
download,v. 下载
refer,v. 参考，查阅，查询；提到，谈及；引用；提交，上呈
interview,v./n. 接见，会见；采访；面试
extent,n. 范围；面积；广度，长度；程度
evacuate,v. 疏散；撤离
stint,n. 定量；限额
embankment,n. 筑堤；堤岸，路基
squash,n. 软式墙网球，壁球 v. 压碎，挤压；挤进，塞入；镇住，镇压；制止
federation,n. 联邦；同盟
surge,v. （人群等）蜂拥而出；波动，涌动 n. （感情等的）洋溢；猛增
physical,a. 身体的，肉体的；物理的，物理学的；物质的，有形的 n. 体检
justify,v. 证明…为正当的；为…辩护
score,v. 得分，记分；给（试卷等）打分，给…评分；刻痕于，画线于；获胜，成功 n. 得分，分数；乐谱；抓痕，划痕；二十
persuade,v. 说服，劝说；使相信
migration,n. 迁徙，移居，移民
overweight,a. 超重的，过重的 n. 超重，过重 vt. 使负担过重
cooperation,n. 合作，协作；配合
zoological,a. 动物学的
stamp,v. 跺（脚），重踏；在…上盖（字样或图案等）；重步走 n. 邮票，印花；印，图章；标志，印记；跺脚，顿足
whistle,v. 吹口哨 n. 口哨；呼啸而过
detective,n. 侦探 a. 侦探的
occupy,vt. 占用，占领；（使）忙碌于；（使）从事
ceremony,n. 典礼；仪式
diagnose,v. 诊断；判断
denote,v. 表示，指示；意味着
chink,n. 裂缝，裂口；一缕光；叮当声 v. （使）发出叮当声
iris,n. （pl. irises或irides）虹；（眼球的）虹膜
resource,n. ［pl.］资源，财力；应付办法，谋略；应变之才
entire,a. 全部的，整个的
epitomise,vt. 集中体现；概括
crocodile,n. 鳄鱼；鳄鱼皮
summit,n. （山等的）最高点，峰顶
ensure,vt. 确保，保证；担保；赋予
odour,n. 气味
accurate,a. 正确无误的；精确的
superior,a. 上级的，（在职位、地位等方面）较高的；优越的，优于…的，较…多的；优良的，卓越的；有优越感的，高傲的 n. 上级，长官
tender,a. 嫩的；脆弱的；温柔的
willing,a. 愿意的，乐意的
perform,v. 履行，执行，完成；表演，演出；（机器）运作
seep,vi. 漏出，渗漏
ambassador,n. 大使，使节
delinquency,n. 失职；行为不良
deliberate,a. 故意的；深思熟虑的；从容不迫的［diˈlibəreit］v.深思熟虑；审议
implication,n. 含意；暗示，暗指；卷入，牵连
broom,n. 扫帚
opponent,n. 敌手，对手；反对者 a. 对立的，对抗的
sponsor,n. 发起者，赞助人，主办者；主顾 vt. 发起，主办；赞助，资助；惠顾
decisive,a. 决定性的；果断的
substantial,a. 可观的，大量的；坚固的，结实的；实质的；大体上的
questionnaire,n. 问卷，调查表
viewpoint,n. 观点，看法
routine,n. 例行公事；惯例 a. 例行的；常规的
nurture,vt. 培养；滋养 n. 营养品
slight,a. 轻微的，不足道的；纤细的，瘦弱的 vt./n. 轻视，藐视，轻蔑
genetic,a. 遗传的 n. ［-s］遗传学
similarly,ad. 同样地，类似地
leak,n. 漏洞；泄露 v. （使）漏，（使）渗出
literature,n. 文学（作品）；文献
suffer,v. 遭受，忍受；忍耐；容许；患病；受损失
impede,vt. 阻碍，妨碍
spring,n. 春天，春季；弹簧，发条；弹性，弹力；（源）泉；跳跃 v. 跳跃；涌现，突然出现；突然提出（或说出）
biological,a. 生物的；生物学的，有关生物学的
deduce,v. 演绎，推断
doctorate,n. 博士学位
absolute,a. 完全的，绝对的，纯粹的
theoretical,a. 理论（上）的
internship,n. 实习生身份；实习医师
slender,a. 修长的，细长的，苗条的；微小的，微薄的
respondent,n. 回答者，响应者；调查对象；被告
surroundings,n. 周围的事物，环境
couple,n. （一）对，（一）双；夫妇 v. 连接，联合，结合；结婚
voluntary,a. 自愿的，志愿的
submarine,n. 潜水艇 a. 水底的，海底的
commercial,a. 商业的，商品化的，贸易的 n. 商业广告
notion,n. 概念，观念；想法
lavatory,n. 盥洗室，厕所
tablet,n. 药片
actual,a. 实际的；真实的
fold,v. 折叠 n. 皱；折
instrument,n. 仪器；手段；工具；乐器
simplify,vt. 使简化
compulsory,a. 义务的；必须做的；强制性的；（课程）必修的
irritation,n. 激怒，恼怒；刺激物，恼人的事
expense,n. 花费，开支；消费，消耗；代价，损失
muddle,n. 一团糟，凌乱，混乱；（头脑）糊涂，困惑 vt. 将…弄成一团糟；使困惑，使糊涂；混淆
originate,v. 起源，发生；首创，创造
induce,vt. 引诱，劝使；引起，导致；感应
exchange,v. 交换，调换；交易；兑换；交流；谈话，争论 n. 交换，调换；交易（所）；兑换（率）；交流
disharmony,n. 不一致；不和谐
cosset,vt. 宠爱，溺爱 n. 宠儿
unique,a. 唯一的，独一无二的；极不寻常的，极好的
crossword,n. 纵横填字游戏
atomic,a. 原子（能）的
disagree,v. 不同意；不一致
check-up,n. 检查
silt,n. 淤泥 v. （用淤泥）阻塞
inclusive,a. 包括一切费用在内的；所有数目（或首尾日期）包括在内的；包容广阔的
reservation,n. 保留意见，存疑；预定，预订
transcript,n. 抄本，副本；文字记录
include,v. 包括，包含；计入
reasonable,a. 合理的，有道理的；通情达理的；适度的
abode,n. 房屋，家，住所
gadget,n. 小巧的器械，精巧的装置；小玩意
emergency,n. 紧急情况，突发事件
legacy,n. 遗产；遗赠
leisure,n. 空闲时间；悠闲
overlap,v. （使）部分重叠，交叠
counterpart,n. 与对方地位相当的人；配对物；副本
tune,vt. 调音；调节，调整 n. 调子；和谐
strike,v. 打；折磨 n. 罢工
ambiguous,a. 含糊其辞的；不明确的，模棱两可的
represent,vt. 代表；表示；表现
vanish,vi. 突然消失；不复存在，消逝
mechanism,n. 机械装置；机制，机理；办法
dispute,n. 争论，争端，争吵 v. 对…表示异议；争论，争吵
furniture,n. 家具
standard,n. 标准 a. 标准的
typical,a. 典型的
strengthen,vt. 加强，巩固
workaholic,n. 工作狂
unaware,a. 未意识到的
erosion,n. 腐蚀；磨损
exclusively,ad. 专有地，专门地
feather,n. 羽毛，翎毛
pronounceable,a. （指声音）发得出的；（指词）可发音的
bare,ad. 仅仅，几乎不；赤裸裸地，无遮蔽地
luggage,n. 行李
hose,n. 软管 vt. 用软管淋
bulb,n. 灯泡
internal,a. 内部的；国内的
ion,n. 离子
cruise,v. 航游，巡航；（出租车、船等）缓慢巡行 n. 航游，游弋
illusion,n. 幻想中的事物，错误的观念；错觉，幻觉，假象
shave,n./v. 修面
incredible,a. 不可信的；难以置信的
vertebrate,n. 脊椎动物 a. 有脊椎的
industrious,a. 勤奋的，勤勉的，勤劳的
intestine,n. 【解】肠
outpost,n. 前哨（站）；偏远村落
general,a. 一般的，普通的；全体的，普遍的；大体的，概括的；首席的 n.将军
bother,v. 打扰，烦扰；烦恼，操心 n. 麻烦，烦扰
consignment,n. 交付，委托；投递，发送；所托运的货物
administrator,n. 管理者，管理人员；行政人员
convention,n. 大会，会议；惯例，常规，习俗；公约，协定
organic,a. 器官的；有机的；有机体的；组织的
trapeze,n. 高空秋千；吊架
intersection,n. 道路交叉口，十字路口
concept,n. 概念，观念；设想
cardiovascular,a. 心血管的
humble,a. 谦逊的，谦虚的；地位（或身份）低下的，卑贱的；简陋的，低劣的 vt. 使谦恭；使卑下；贬低
lecture,n. 演讲，讲课
counter,n. 柜台 ad. 相反
brass,n. 黄铜；黄铜器；铜管乐器
fauna,n. （某地区或某时期的）所有动物
expel,vt. 把…开除；驱逐
equator,n. （地球）赤道
invest,v. 投资；投入（时间、精力等）；授予，赋予
essay,n. （作为课程作业的）短文，文章；评论文
dedicate,vt. 献（身）；（在著作等上）题献词
astrology,n. 占星学；占星术
attain,vt. 达到；获得；完成
divisional,a. 部门的
ambition,n. 雄心，抱负；野心
range,n. 范围，领域；系列；（山）脉；射程 v. （在一定范围内）变化，变动；排列
ultimate,a. 最后的，最终的；根本的 n. 最好（或先进、伟大等）的事物，极品，精华
counsellor,n. 顾问，辅导顾问
flap,v. 拍打；（翅膀）拍动 n. 薄片；封盖；振动；激动
wastage,n. 消耗量；损耗；（雇员的）减员
earthquake,n. 地震
device,n. 装置，设备，仪表；方法；设计；手段，策略
regulate,v. 管制，控制；调节，校准；调整
mould,n. 霉，霉菌；模型，铸模；（人的）性格，气质 v. 用模子制作，浇铸；使形成，把…塑造成
potential,a. 潜在的；可能的 n. 潜力，潜能
discretion,n. 判断力；谨慎，审慎；明智
ambitious,a. 有抱负的，有雄心的，有野心的
brief,a. 短时间的，短暂的；简短的，简洁的 n. 概要，摘要 vt. 向…介绍基本情况，为…提供资讯
dorm,n. 宿舍
substitute,v. 代替，替换 n. 代替者，代替物，代用品
striking,a. 显著的，惹人注目的
pirate,n. 侵犯版权者；海盗 vt. 盗用，盗版
refrigerator,n. 冰箱；冷藏库
minimise,vt. 使减到最低限度；最小化
imaginative,a. 富有想象力的；创新的
profit,n. 利润；益处 v. 有利于；获益
decrepit,a. 破旧的；衰老的
ignorant,a. 无知的；愚昧的
leopard,n. 豹，美洲豹
mastery,n. 精通，熟练；控制
forecast,n./vt. 预报；预测；预想
precision,n. 准确，精确；精确度
quote,n. 引文，引语；估价，报价；［pl.］引号 v. 引用，引述，引证；提出，提供；报价
comparative,a. 比较的；相当的
recruit,v. 招募（新兵），招收（新成员）；复原，恢复；补充 n. 新兵，新成员，新会员
gloss,n. 光泽，色泽；虚假的外表，假象；注解，解释 v. 使具有光泽；掩饰；曲解；作注释；发光，发亮
committee,n. 委员会，全体委员
exile,vt. 放逐，流放，使流亡 n. 流放，流亡；被流放者，背井离乡者，流犯
representative,n. 代表，代理人 a. 典型的，有代表性的
reverse,n. 相反，颠倒；背面，后面 a. 相反的；倒转的，颠倒的 v. 颠倒，（使）倒退
finance,vt. 为…提供资金 n. 财政，金融；［常pl.］财务情况
resign,v. 辞职；辞去；放弃
preparation,n. 准备（工作），预备；制剂
eyesight,n. 视力
thrive,vi. 兴旺，繁荣
judgment,n. 意见；审判；判断（力）
outward,a. 外面的；外表的，表面的
consequently,ad. 因此，因而
entertain,v. （使）欢乐，（使）娱乐；招待
withstand,vt. 抵挡；经受住
anthropologist,n. 人类学家
comb,n. 梳子；蜂巢；（鸡等的）肉冠，冠状物 v. 梳理；搜寻，彻底搜查
suitably,ad. 合适地，适宜地，相称地
pulley,n. 滑轮；滑车
privilege,n. 特权，优惠，特许 vt. 给予特权，特别优待
infrastructure,n. 基础结构，基础设施
allocate,vt. 分配；分派
qualification,n. 资格，合格；技能；限定，条件；合格证
expand,v. （使）膨胀，（使）扩张；张开，展开；详述
trap,n. 陷阱，圈套，诡计 vt. 诱捕，诱骗，使中圈套；使陷入困境，使受限制
intern,［inˈtɜ:n］vt. 拘禁，软禁［ˈintɜ:n］n. 实习生
repaint,v. 重新油漆，重画
specialist,n. 专家；专科医生
migratory,a. 迁徙的，移居的；流动的，游牧的
nutrition,n. 营养；营养学
inlet,n. 入口；进（水）口，水湾
censor,vt. 审查，检查（书报） n. 检查员
widespread,a. 分布广的；普遍的
hazard,n. 危险，冒险 v. 尝试着做（或提出）；冒…风险
rear,a. 后方的，后部的；背后的 n. 后部，尾部 v. 饲养，抚养；种植
shareholder,n. 股票持有人；股东
bid,n./v. 出价；投标
alight,a. 点着的 vi. 降落，飞落；从（公共汽车等）下来
credit,vt. 记入贷方；把…归于 n. 信用贷款，赊欠；信任，相信；贷方；荣誉，名望；光荣，功劳；学分
shrewd,a. 机灵的；精明的
desert,［ˈdezət］n. 沙漠；荒地 a. 沙漠的；荒凉的［diˈzɜ:t］v. 舍弃
conclude,v. 推断出；作结论
explosive,n. 爆炸物，炸药 a. 爆炸的，爆发的；使人冲动的
inherent,a. 内在的；生来就有的
world-wide,a./ad. 遍及全球的／地
grope,v. （暗中）摸索
lever,vt. （用杠杆）撬动 n. 杠杆；施压手段
ethical,a. （有关）道德的；伦理的
improvement,n. 改进，进步；改进措施；改进处
vacant,a. 未占用的，空的
truant,vi. 逃避责任；旷课 n. 逃学者；逃避者
scandal,n. 丑事，丑闻；恶意诽谤；流言飞语；反感，愤慨
latent,a. 潜在的，潜伏的，不易察觉的
tenant,n. 承租人；房客；佃户
psychiatric,a. 精神病的；治疗精神病的
campfire,n. 营火
bolster,vt. 支持，支撑；改善 n. 垫子
immigrant,n. 移民；侨民
sequence,n. 一系列，一连串；顺序，次序
ecosystem,n. 生态系统
concern,vt. 涉及；使关心；让（人）担忧 n. 关心；关注
transfer,［træsˈfɜ:(r)］v. 搬，转移；调动，转学；转让，过户；转车，换乘［ˈtræsfɜ:(r)］n. 转移；调动；转车，换乘
exotic,a. 外来的；奇异的；醒目的，吸引人的
evaporate,v. （使）蒸发；消失；不复存在
destiny,n. 命运，定数
hide,v. （躲）藏 n. 皮革，兽皮
former,a. 以前的 n. 前者
awfu,a. 糟糕的
sore,a. 痛的；恼火的；剧烈的 n. 疮
virtually,ad. 几乎，差不多；实际上，事实上
tangibly,ad. 可触摸地；可感知地；有形地
windscreen,n. 挡风玻璃，风挡
decent,a. 大方的，体面的，像样的；正派的，合乎礼仪的
alluvial,a. 【地】冲积的，淤积的 n. 冲积土（或层、矿床），淤积土
slum,n. 贫民窟，贫民区
distill,vt. （使）蒸馏，提取
economical,a. 节约的；经济的
fate,n. 命运，天数
medication,n. 药；药物
target,n. 目标；对象，靶子 vt. 对准，面向
independent,a. 独立的，自主的，不受约束的 n. 中立派，无党派议员
radius,n. 半径；周围，范围
fossil,n. 化石；老顽固
shade,n. 阴凉处；（灯）罩；暗部；色度；细微差别 vt. 遮蔽，遮光；把…涂暗
headmaster,n. （中小学）校长
wean,vt. （使）断奶，（使）戒掉
comprise,vt. 包含；由…组成
stable,a. 稳定的，稳固的，安定的；沉稳的，持重的 n. 马厩
disappointing,a. 令人失望的
delta,n. 三角洲；希腊字母表的第四个字母
urban,a. 都市的；住在都市的
compliment,n. 赞美；［pl.］问候，祝贺
execution,n. 执行，实施；处决
heritage,n. 遗产；传统
appropriate,［əˈprəupriət］a. 适当的［əˈprəuprieit］vt. 占有，挪用；拨出（款项）
annual,a. 每年的，年度的 n. 年刊，年鉴；一年生植物
depict,vt. 描绘，描述
literacy,n. 有文化；有教养；读写能力
calculate,v. 计算，推算；估计，推测；计划，打算
luxury,n. 豪华（品）；奢侈（品） a. 奢华的
souvenir,n. 纪念品，纪念物
purchase,vt. 买，购买 n. 购买的物品
constant,a. 经常的，不断的；坚定的，永恒的，忠实的；持续的，不变的 n.常数，恒量
dormancy,n. 休眠；催眠状态；冬眠；隐匿
particular,a. 特殊的，特别的；特定的，个别的；详细的 n. 详情，细目，细节
subscription,n. 订阅，订购；订阅费，订购款；捐赠，捐助；签字，签署
pitch,v. 投掷；颠簸；为…定音高 n. 沥青；场地；程度；最高点；音高
entitle,vt. 给…权利（或资格）；给（书、文章等）题名；给…以称号
shutter,n. 百叶窗；（照相机的）快门
demolish,vt. 破坏；拆除；驳倒（论点等），推翻
durable,n. 耐用品 a. 耐久的；耐用的
cope,vi. （成功地）应付；（妥善地）处理
circulation,n. （体液的）循环，（水、空气等的）流通；流传，传播；发行，发行量
tradition,n. 传统；惯例
benefit,v. 使受益；有益于，得益于 n. 益处，好处；恩惠；救济金，保险金，津贴
decay,n. 腐烂，腐朽；衰败（或衰退）状态 v. 腐烂，腐朽；衰败，衰退
distribution,n. 分发，分配；配给物；散布，分布
defect,［ˈdi:fekt］n. 缺点，不足之处 ［diˈfekt］vi. 叛变
oppose,v. 反对，反抗
statistics,n. 统计数字，统计资料；统计学
stuffy,a. 不透气的，（空气）不新鲜的，不通风的；乏味的
approximately,ad. 近似，大约
excusable,a. 可原谅的；可谅解的；可容许的
propose,v. 提议，建议；提名，推荐；打算；（向某人）求婚
ornament,n. 装饰；装饰物 vt. 装饰，修饰，美化
energetic,a. 有力的，精力旺盛的；积极的
